,0,1
0,1.0,1.0
1,1.0,0.635651
2,1.0,0.42943
3,1.0,0.309079
4,1.0,0.232251
5,1.0,0.181777
6,1.0,0.1318
7,1.0,0.091089
8,1.0,0.065006
9,1.0,0.045217
10,1.0,0.031294
11,1.0,0.020791
12,1.0,0.014646
13,1.0,0.010056
14,1.0,0.006883
15,1.0,0.004702
16,1.0,0.003252
17,1.0,0.00225
18,1.0,0.001463
19,1.0,0.000945
20,1.0,0.000644
21,1.0,0.000468
22,1.0,0.000324
23,1.0,0.000239
24,1.0,0.000175
25,1.0,0.000124
26,1.0,8.9e-05
27,1.0,6.2e-05
28,1.0,4.5e-05
29,1.0,3.4e-05
30,1.0,2.7e-05
31,1.0,2.1e-05
32,1.0,1.6e-05
33,1.0,1.3e-05
34,1.0,1.1e-05
35,1.0,8e-06
36,1.0,6e-06
37,1.0,4e-06
38,1.0,3e-06
39,1.0,2e-06
40,1.0,1e-06
41,1.0,1e-06
42,1.0,1e-06
43,1.0,1e-06
44,1.0,1e-06
45,1.0,1e-06
46,1.0,1e-06
47,1.0,1e-06
48,1.0,1e-06
49,1.0,1e-06
50,1.0,1e-06
51,1.0,1e-06
52,1.0,1e-06
53,1.0,1e-06
54,1.0,1e-06
55,1.0,1e-06
56,1.0,1e-06
57,1.0,1e-06
58,1.0,1e-06
59,1.0,1e-06
60,1.0,0.0
